30 32 31
33 34 30
35 37 36
38 39 35
40 42 41
43 44 40
45 47 46
48 49 45
50 52 51
53 36 50
54 56 55
57 41 54
58 60 59
61 46 58
62 64 63
65 31 62
66 33 67
68 69 66
51 68 70
67 65 71
72 38 73
74 75 72
55 74 76
73 53 77
78 43 79
80 81 78
59 80 82
79 57 83
84 48 85
86 87 84
63 86 88
85 61 89
90 71 91
92 70 90
77 92 93
91 88 94
94 89 95
95 82 96
96 83 97
93 97 76
3 30 31
1 32 30
2 31 32
3 33 30
4 34 33
1 30 34
20 35 36
21 37 35
13 36 37
20 38 35
24 39 38
21 35 39
27 40 41
29 42 40
28 41 42
27 43 40
26 44 43
29 40 44
15 45 46
14 47 45
22 46 47
15 48 45
9 49 48
14 45 49
12 50 51
13 52 50
8 51 52
12 53 50
20 36 53
13 50 36
19 54 55
28 56 54
25 55 56
19 57 54
27 41 57
28 54 41
16 58 59
22 60 58
23 59 60
16 61 58
15 46 61
22 58 46
6 62 63
2 64 62
5 63 64
6 65 62
3 31 65
2 62 31
7 66 67
4 33 66
3 67 33
7 68 66
8 69 68
4 66 69
12 51 70
8 68 51
7 70 68
7 67 71
3 65 67
6 71 65
17 72 73
24 38 72
20 73 38
17 74 72
25 75 74
24 72 75
19 55 76
25 74 55
17 76 74
17 73 77
20 53 73
12 77 53
18 78 79
26 43 78
27 79 43
18 80 78
23 81 80
26 78 81
16 59 82
23 80 59
18 82 80
18 79 83
27 57 79
19 83 57
10 84 85
9 48 84
15 85 48
10 86 84
5 87 86
9 84 87
6 63 88
5 86 63
10 88 86
10 85 89
15 61 85
16 89 61
11 90 91
7 71 90
6 91 71
11 92 90
12 70 92
7 90 70
17 77 93
12 92 77
11 93 92
11 91 94
6 88 91
10 94 88
11 94 95
10 89 94
16 95 89
11 95 96
16 82 95
18 96 82
11 96 97
18 83 96
19 97 83
17 93 76
11 97 93
19 76 97
